Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
114,541,124,Aug 18,NYM,@,KCR,W11-5,CG,5,4,1,2,0,0,1,4,1,0,0,0,0,0,0,0,0,0,.258,.367,.495,.862,4,1.20,0.182,2.64,25.00,35.20,RF
115,542,125,Aug 20,NYM,,CLE,W9-2,CG,4,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.258,.366,.500,.866,4,1.01,0.223,0.75,16.00,22.20,RF
116,543,126,Aug 21,NYM,,CLE,W4-3,CG(10),5,4,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.256,.365,.495,.860,4,2.54,0.030,-0.42,6.00,9.70,RF
117,544,127,Aug 22,NYM,,CLE,W2-0,CG(8),3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.259,.366,.499,.865,4,.74,0.095,0.87,15.00,18.20,RF
118,545,128,Aug 23,NYM,,ATL,L1-2,CG(14),6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.255,.362,.492,.854,4,2.00,-0.442,-1.75,0.00,0.00,RF
119,546,129,Aug 24,NYM,,ATL,L5-9,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.255,.361,.490,.851,4,1.02,0.003,0.13,3.00,3.00,RF
120,547,130,Aug 25,NYM,,ATL,L1-2,CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.255,.360,.487,.848,4,1.62,-0.073,-0.20,3.00,3.00,RF
121,548,131,Aug 27,NYM,,CHC,L2-5,CG,4,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,.255,.359,.490,.849,4,.71,0.050,0.30,8.00,9.00,CF
122,549,132,Aug 28,NYM,,CHC,L7-10,CG,5,4,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.257,.362,.492,.854,3,.63,-0.008,0.87,14.00,18.70,RF
123,550,133,Aug 29,NYM,,CHC,L1-4,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,.258,.363,.491,.854,6,1.27,-0.047,-0.52,5.00,6.00,RF
124,551,134,Aug 30,NYM,@,PHI,W11-5,CG,5,5,2,3,1,0,1,2,0,0,1,0,0,0,0,0,0,0,.262,.365,.501,.866,3,1.13,0.058,2.08,26.00,34.40,CF
125,552,135,Aug 31,NYM,@,PHI,W6-3,CG,5,4,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.264,.367,.503,.870,5,1.25,0.164,2.14,14.00,18.70,RF
126,553,136,Sep 1,NYM,@,PHI,L2-5,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.261,.364,.499,.863,3,1.65,-0.221,-1.57,0.00,0.00,RF
127,554,137,Sep 2,NYM,@,WSN,W7-3,CG,5,5,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.261,.363,.496,.859,3,.28,-0.012,-0.56,5.00,6.20,RF
128,555,138,Sep 3,NYM,@,WSN,L10-11,CG,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.260,.362,.493,.854,3,.59,0.039,-0.12,5.00,6.20,RF
129,556,139,Sep 4,NYM,@,WSN,W8-4,GS-9,5,5,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.259,.360,.492,.852,3,.43,0.042,-0.40,7.00,9.20,RF
130,557,140,Sep 6,NYM,,PHI,W5-4,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.259,.359,.496,.855,3,.84,0.028,0.06,14.00,18.70,RF
131,558,141,Sep 7,NYM,,PHI,L0-5,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.258,.359,.493,.851,5,1.03,-0.037,-0.76,2.00,3.00,RF
132,559,142,Sep 8,NYM,,PHI,L7-10,CG,6,5,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.257,.358,.490,.848,3,1.42,-0.022,-0.46,7.00,9.20,RF
133,560,143,Sep 9,NYM,,ARI,W3-1,CG,4,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.258,.359,.489,.848,3,.39,0.020,0.18,5.00,6.00,RF
134,561,144,Sep 10,NYM,,ARI,W3-2,CG,4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.258,.358,.489,.847,3,.45,-0.011,-0.25,5.00,6.00,RF
135,562,146 (1),Sep 12,NYM,,ARI,W11-1,CG,4,3,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.260,.361,.496,.857,5,.56,-0.022,1.09,23.00,31.10,RF
136,563,147,Sep 13,NYM,,LAD,L2-9,CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.258,.360,.493,.853,7,.66,-0.048,-0.36,4.00,6.20,RF
137,564,148,Sep 14,NYM,,LAD,W3-0,9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.258,.360,.493,.853,7,,,,0.00,0.00,RF
138,565,149,Sep 15,NYM,,LAD,L2-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.256,.358,.489,.847,3,1.33,-0.155,-0.94,0.00,0.00,RF
139,566,150,Sep 16,NYM,@,COL,L4-9,CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.254,.355,.484,.839,3,.57,-0.076,-1.50,0.00,0.00,RF
140,567,151,Sep 17,NYM,@,COL,W6-1,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.252,.354,.482,.836,6,.58,-0.076,-0.58,2.00,3.00,RF
141,568,152,Sep 18,NYM,@,COL,W7-4,CG,5,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.250,.353,.478,.831,6,1.38,-0.101,-0.68,4.00,6.50,RF
142,569,153,Sep 20,NYM,@,CIN,W8-1,CG,5,3,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,.251,.355,.477,.832,6,.64,-0.002,1.02,9.00,12.50,RF
143,570,154,Sep 21,NYM,@,CIN,L2-3,CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.250,.354,.474,.829,6,.95,-0.016,0.05,4.00,6.20,CF RF
144,571,155,Sep 22,NYM,@,CIN,W6-3,CG,4,3,1,2,1,0,1,3,1,1,1,0,0,0,0,0,0,0,.252,.357,.483,.840,6,.67,0.215,2.75,25.00,34.70,RF
145,572,156,Sep 23,NYM,,MIA,L4-8,CG,4,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.251,.358,.481,.839,7,.91,0.008,0.11,6.00,9.20,RF
